,title,description,date,price,img,path
70,New Brand Fridge Sparingly Used Showroom Condition,We are selling our Double door fridge very less used .just like brand new showroom condition not even a single scratch and invertor linear compressor under 10 years compressor warranty  17 months old 499 litres Capacity. Will save Electricity  as compare to normal fridge because of linear invertor compressor .Just have a look once you will definately love to buy itwell maintained reason of selling is we want a more bigger size according to family requirement wehave bought it at 82000,2021-09-18T15:41:44+0000,"₹ 52,000",https://apollo-singapore.akamaized.net:443/v1/files/3rn1waqebym32-IN/image,images/70.png
71,Whirlpool 250 Litres Mastermind classic frost-free refrigerator,"The Whirlpool 250 Litres Mastermind classic frost-free refrigerator is a smart refrigerator that is fully-loaded to complete your kitchen. This stylish and smart whirlpool refrigerator comes with a unique vegetable compartment with humidity control to ensure that your vegetables remain fresh for long. The refrigerator has a 4 star energy rating, so you will get the best performances without affecting your utility bills. The refrigerator offers toughened glass shelves, allowing you store many items without worrying out any damage. Some other great features of the refrigerator include faster ice making, hybrid plasma, deodorizer, ice or water dispenser system, water filtration systems, and freezer selves. It helps preserve health and vitality of vegetables, fruits, and even cooked food. With a gross capacity of 250 litres, it comes in stylish colors and a luxurious design.",2021-09-18T15:37:38+0000,"₹ 7,000",https://apollo-singapore.akamaized.net:443/v1/files/5ni059pc31f01-IN/image,images/71.png
72,Deep fridge,One year old deep fridge in good working condition.,2021-09-18T15:00:30+0000,"₹ 18,000",https://apollo-singapore.akamaized.net:443/v1/files/jrz7icpp869r2-IN/image,images/72.png
73,GODREJ REFRIGERATOR 215 L,Fully Working Godrej Refrigerator 215 Litre.. Best Cooling Capacity,2021-09-18T11:49:49+0000,"₹ 6,000",https://apollo-singapore.akamaized.net:443/v1/files/dq8nnzfm2tfg1-IN/image,images/73.png
74,Shipping free,Long kurti. With jacket,2021-09-18T10:25:38+0000,₹ 642,https://apollo-singapore.akamaized.net:443/v1/files/akijt7r8k4d71-IN/image,images/74.png
75,Soft free shipping,Toys soft toys,2021-09-18T09:25:41+0000,₹ 350,https://apollo-singapore.akamaized.net:443/v1/files/zo7heza3kvs63-IN/image,images/75.png
76,Sharara suit shipping free,Sharara suit,2021-09-18T09:16:32+0000,"₹ 1,150",https://apollo-singapore.akamaized.net:443/v1/files/3fq55tgbbkg62-IN/image,images/76.png
77,Samsung 324 litre refrigerator 3 star 2 star 4 star factory second,Samsung refrigerator minor dent and scratch,2021-09-18T08:30:32+0000,"₹ 19,000",https://apollo-singapore.akamaized.net:443/v1/files/1mkkslkvekz13-IN/image,images/77.png
78,Frige and washing machine trolley,Frige and washing machine adjustable steel trolley ! stainless steel trolley ! Fixed leg and wheel both are available new fresh pcs. Adjust in all home appliances,2021-09-18T08:12:34+0000,"₹ 2,300",https://apollo-singapore.akamaized.net:443/v1/files/9st61wnxb8b83-IN/image,images/78.png
79,Whirlpool fridge,Whirlpool refrigerator  Model- DC 215 5S/2019  Only used one year  Works excellent,2021-09-18T07:41:40+0000,"₹ 8,000",https://apollo-singapore.akamaized.net:443/v1/files/5yu0rvlg64mo2-IN/image,images/79.png
