,title,description,date,price,img,path
67,Nikon 55-200 1:4-5.6 G lens ED Nikon DX lens,New Nikon 55-200 lens new item without invoice custom item.,2021-09-11T11:22:23+0000,"₹ 9,999",https://apollo-singapore.akamaized.net:443/v1/files/u5lzbaojv0cm3-IN/image,images/67.png
68,Cannon 2 camera,Cannon 2 camera brand new conditions,2021-09-11T10:48:23+0000,"₹ 1,500",https://apollo-singapore.akamaized.net:443/v1/files/kyp167j48ny93-IN/image,images/68.png
69,Cctv camera available for installation all delhi,"Cctv camera installation best prize in the market all brands are available # hikvision dvr 4 channels # 4 camera hikvision/cp plus 2.4mp # power supply # 500gb hard disk # cable roll # connector # mobile view Note: installation extra Deals in cctv camera ,n door lock  Vbh",2021-09-11T08:11:24+0000,"₹ 9,500",https://apollo-singapore.akamaized.net:443/v1/files/szqmgx72qg18-IN/image,images/69.png
70,Wifi camera brand new,"home delivery & installation available Description  V380 WIFI Camera with REMOTE MONITORING by Mobile app AND 2 Way TALK with Video Recording using memory card:  2 Way Audio Intercom + voice message + Wide Angle View + Motion Detection Alarm + Real-time monitoring+Night Vision  Megapixel IP Wifi Camera with Stunning Picture Quality, V380 Mobile App. APP is free life time  Dual-way Live Video call and Intercom , Make communication more smoothly  High Video Compression : 64GB Memory Card (not included) give recording a month  Strong Magnet at base, so that can be fixed to any metal object easily.  Best Suitable for 20 x 20 Feet Room/Shop/Office/ for live monitoring of maid, Baby, Servant etc.  History Playback , Know all day movement any time from Mobile app only , no need to remove memory card.  Low Internet data consumption  Watch Live home from office using mobile app.  Motion Sensor gives alarm and recording both features. Can be used as WiFi Door Bell also .  Specification :  Color: White  Positioning: Wall Mount Or Ceiling Mount 360Degree Movement  Memory Card Supported up to 64GB  Can be Connected to Any Mobile Power Bank so that use it without electricity .  5V 2A USB Power Camera comes with Adaptor and USB Cable.  With Inbuilt Mic and Speaker for Communication with Mobile app  Use it as WiFi Door Bell . And Talk to Visitor Using you mobile App.   Compatible Devices: Up to Android 2.3 and IOS 6.0 devices   Package Includes :  1x V380 Smart Camera  1x USB Cable  1x User",2021-09-11T08:10:01+0000,"₹ 1,200",https://apollo-singapore.akamaized.net:443/v1/files/9mn38p8n3e4a1-IN/image,images/70.png
71,Electronic door lock installation available,electronic door lock with 2 remote n 5 manual keys with fitting 1 year warranty call fast...other parts n service required that will cost extra..(,2021-09-11T08:09:23+0000,"₹ 3,999",https://apollo-singapore.akamaized.net:443/v1/files/3fybdlvv46n93-IN/image,images/71.png
72,Centre lock installation available,electronic door lock with 5 manual keys with fitting 1 year warranty* call fast...other parts n service required that will cost extra..(,2021-09-11T08:08:58+0000,"₹ 3,000",https://apollo-singapore.akamaized.net:443/v1/files/b6wcyv91e4cw-IN/image,images/72.png
73,4camera setup hikvision,"Cctv camera installation best prize in the market all brands are available # hikvision dvr 4 channels # 4 camera hikvision/cp plus 2.4mp # power supply # 500gb hard disk # cable roll # connector # mobile view Note: installation extra Deals in cctv camera ,n door lock  Vbh",2021-09-11T08:08:35+0000,"₹ 9,500",https://apollo-singapore.akamaized.net:443/v1/files/kfblult9eg9m-IN/image,images/73.png
74,Sony handycam camera,Sony handicap camera wheel wala not a memory,2021-09-11T07:02:25+0000,"₹ 4,000",https://apollo-singapore.akamaized.net:443/v1/files/uijux44i3mei3-IN/image,images/74.png
75,Sony cybershot camera,"1. New condition. 2. 7.2 mega pixel, 2.5” LCD monitor. 3. With all accessories like cover, charger, car charger, USB transfer data cable. 4. 2GB Memory card installed. 5. Camera bought from USA",2021-09-11T06:46:50+0000,"₹ 9,500",https://apollo-singapore.akamaized.net:443/v1/files/lkelpbhe9s5b3-IN/image,images/75.png
76,Nikon d3100 with 18-55 lens photo video do no h,Financial problem #bag#lens#camera#battery#charger,2021-09-11T06:12:46+0000,"₹ 17,000",https://apollo-singapore.akamaized.net:443/v1/files/ogykow8oj6a-IN/image,images/76.png
77,Brand New Canon Ixus 135 at Rs 3200. Amazon price is 6500,"Only used in 2 family functions Selling because bought new canon dslr  With memory card, battery, pouch.  Please do not bargain. It's like 50 percent off",2021-09-11T05:35:14+0000,"₹ 3,200",https://apollo-singapore.akamaized.net:443/v1/files/70gwkcxunids2-IN/image,images/77.png
