,Unnamed: 0,PRODUCT NAME,PRODUCT PRICE,PRODUCT RATING,URL,brand,pixels
108,108,"everycom mini tripod with phone holder portable lightweight flexible with 360 degree compatible with all smart phones and digital camera for vlogging blogging shooting photography, silver color",249,2.9,https://m.media-amazon.com/images/I/71i89QyCm7L._AC_UY218_.jpg,everycom,
109,109,"camrolite 1/4"" screw mini dslr hand stabilizer holder grip for smartphones,go pro,canon,nikon & other dslr cameras",329,4.2,https://m.media-amazon.com/images/I/31J2ra1UIWS._AC_UY218_.jpg,camrolite,
110,110,canon ixus-285 hs 20.2mp point and shoot camera with 12x optical zoom (black),12930,4.0,https://m.media-amazon.com/images/I/91a8xiYUU3L._AC_UY218_.jpg,canon,2.0
111,111,"polam-foto lightweight desktop mini tripod  3 levels adjustment 360° ball head cold shoe for camera/phone/webcam/dslr /sony/gopro，extendable selfie stick , for vlogging, live streaming",799,3.7,https://m.media-amazon.com/images/I/51FlbBf5PPL._AC_UY218_.jpg,polam-foto,
112,112,"grox 360 photo mini tripod for mobile , portable small tripod for dslr & mirrorless cameras, mini tripod stand w/anti slip feet, works as desktop tripod, vlog tripod, table tripod",325,4.2,https://m.media-amazon.com/images/I/51LLTzm5scL._AC_UY218_.jpg,grox,
113,113,decdeal 1080p kids camera digital instant camera photo printer with 12mp front and rear cameras 1 roll of print paper 6 color pencils 16g tf card for boys and girls,1463809,4.5,https://m.media-amazon.com/images/I/718q1UYNpXS._AC_UY218_.jpg,decdeal,12.0
114,114,"m s tech mini button camera, dv portable video and hd audio recorder, small button security cam, dvr digital recording camcorder with sd card slot up to 32gb support (black)",890,5.4,https://m.media-amazon.com/images/I/61Sn1QLtzuS._AC_UY218_.jpg,mstech,
115,115,"ruily® kids camcorder 5mp 2.4"" tft screen for kids camera (blue)",2299,3.9,https://m.media-amazon.com/images/I/31SuaPs62sL._AC_UY218_.jpg,ruily®,5.0
116,116,"mixen astronomical telescope with high light transmittance and high magnification, equipped with star finder, outdoor education, corrective mirror",4499,4.2,https://m.media-amazon.com/images/I/71EV5Y+XuxL._AC_UY218_.jpg,mixen,
117,117,"auslese™ 50x to 1000x usb 2.0 digital microscope magnification endoscope 8 led mini camera with metal stand, compatible with mac & windows for pcb inspection/measurement",1499,2.4,https://m.media-amazon.com/images/I/31aM959VTwL._AC_UY218_.jpg,auslese™,
