,PRODUCT NAME,PRODUCT PRICE,PRODUCT RATING,URL,brand,star,capacity,doubledoor
85,"godrej 255 l 2 star inverter frost-free double door refrigerator with jumbo vegetable tray (rf eon 255b 25 hi ry dr, royal dremin)",20980,4.0,https://m.media-amazon.com/images/I/71FxWNuC7sL._AC_UY218_.jpg,godrej,2.0,255.0,1
86,amazonbasics 564 l side-by-side door refrigerator (silver steel finish),48999,4.2,https://m.media-amazon.com/images/I/71DuofqGR8L._AC_UY218_.jpg,amazonbasics,,564.0,0
87,"samsung 580 l inverter frost-free french door refrigerator (rf57a5032s9/tl, refined inox, convertible)",74990,,https://m.media-amazon.com/images/I/61uVsGgl1ES._AC_UY218_.jpg,samsung,,580.0,0
88,amazonbasics 564 l side-by-side door refrigerator (silver steel finish),48999,4.2,https://m.media-amazon.com/images/I/71DuofqGR8L._AC_UY218_.jpg,amazonbasics,,564.0,0
89,"whirlpool 265 l 3 star inverter frost-free double door refrigerator (intellifresh inv cnv 278 3s, black sparkle, convertible)",27240,4.1,https://m.media-amazon.com/images/I/71PpAFGSYyL._AC_UY218_.jpg,whirlpool,3.0,265.0,1
90,"whirlpool 215 l 5 star inverter direct-cool single door refrigerator (230 impro roy 5s inv wine flume, wine flume)",20740,,https://m.media-amazon.com/images/I/61RSpf2xNgL._AC_UY218_.jpg,whirlpool,5.0,215.0,0
91,"samsung 198 l 3 star inverter direct cool single door refrigerator (rr21a2c2yut/hl, pebble blue, digi-touch cool)",15790,,https://m.media-amazon.com/images/I/71Sq64GeE6L._AC_UY218_.jpg,samsung,3.0,198.0,0
92,"samsung 198 l 5 star inverter direct-cool single door refrigerator (rr21t2g2wcr/hl, camellia purple)",17099,,https://m.media-amazon.com/images/I/71VtXOqsI3L._AC_UY218_.jpg,samsung,5.0,198.0,0
93,"lg 215 l 4 star inverter direct-cool single door refrigerator (gl-b221ascy, scarlet charm, moist 'n' fresh)",17674,,https://m.media-amazon.com/images/I/716PBP4pfeL._AC_UY218_.jpg,lg,4.0,215.0,0
94,"samsung 198 l 4 star inverter direct-cool single door refrigerator (rr21a2h2xut/hl, pebble blue, base stand with drawer)",16690,,https://m.media-amazon.com/images/I/71IGmNNBwjL._AC_UY218_.jpg,samsung,4.0,198.0,0
95,"whirlpool 570 l inverter frost-free multi-door refrigerator (ws sbs 570 steel (sh), grey)",61990,4.1,https://m.media-amazon.com/images/I/61-5v7QOt4L._AC_UY218_.jpg,whirlpool,,570.0,0
96,"haier 220 l 4 star inverter direct-cool single door refrigerator (hed-22cfds, dazzel steel/brushline silver)",16590,4.2,https://m.media-amazon.com/images/I/71fwxeMQkwL._AC_UY218_.jpg,haier,4.0,220.0,0
97,"samsung 255 l 3 star inverter direct cool single door refrigerator(rr26t389yut/hl, pebble blue, base stand with drawer)",20390,4.2,https://m.media-amazon.com/images/I/71MgoYxgs1L._AC_UY218_.jpg,samsung,3.0,255.0,0
98,"godrej 236 l 2 star inverter frost-free double door refrigerator with jumbo vegetable tray (rf eon 236b 25 hi si st, stainless steel)",19280,4.0,https://m.media-amazon.com/images/I/61AAVzzYh5L._AC_UY218_.jpg,godrej,2.0,236.0,1
99,"whirlpool 190 l 4 star inverter single door refrigerator (wde 205 roy 4s inv, wine magnolia, base stand)",16490,,https://m.media-amazon.com/images/I/51UjRKm2oyS._AC_UY218_.jpg,whirlpool,4.0,190.0,0
100,"samsung 253 l 3 star digital inverter frost free double door refrigerator (rt28a3453bx/hl, luxe black)",25390,,https://m.media-amazon.com/images/I/61OCuQBUbIL._AC_UY218_.jpg,samsung,3.0,253.0,1
101,"lg 190 l 4 star inverter direct-cool single door refrigerator (gl-b201aspy, scarlet plumeria, moist 'n' fresh)",15545,,https://m.media-amazon.com/images/I/51J0BUWKiFS._AC_UY218_.jpg,lg,4.0,190.0,0
102,"whirlpool 245 l 2 star frost-free double door refrigerator (neofresh 258lh cls plus 2s, german steel)",21240,4.2,https://m.media-amazon.com/images/I/71esczZ2+xL._AC_UY218_.jpg,whirlpool,2.0,245.0,1
103,"lg 270 l 3 star inverter direct-cool single door refrigerator (gl-b281bscx, scarlet charm, moist 'n' fresh)",21990,,https://m.media-amazon.com/images/I/71wS2hpHsBL._AC_UY218_.jpg,lg,3.0,270.0,0
104,"samsung 255 l 3 star inverter direct cool single door refrigerator(rr26t389yut/hl, pebble blue, base stand with drawer)",20390,4.2,https://m.media-amazon.com/images/I/71MgoYxgs1L._AC_UY218_.jpg,samsung,3.0,255.0,0
105,"whirlpool 190 l 3 star direct-cool single door refrigerator (wde 205 cls plus 3s magnum steel, magnum steel)",12740,3.9,https://m.media-amazon.com/images/I/518kXqvK6xL._AC_UY218_.jpg,whirlpool,3.0,190.0,0
106,"amazon basics 335 l frost free double door refrigerator, silver",27499,3.9,https://m.media-amazon.com/images/I/51IrSQmuLgS._AC_UY218_.jpg,amazon,,335.0,1
107,"godrej 255 l 2 star inverter frost-free double door refrigerator with jumbo vegetable tray (rf eon 255b 25 hi ry dr, royal dremin)",20980,4.0,https://m.media-amazon.com/images/I/71FxWNuC7sL._AC_UY218_.jpg,godrej,2.0,255.0,1
108,"amazon basics 335 l frost free double door refrigerator, silver",27499,3.9,https://m.media-amazon.com/images/I/51IrSQmuLgS._AC_UY218_.jpg,amazon,,335.0,1
109,"samsung 580 l inverter frost-free french door refrigerator (rf57a5032s9/tl, refined inox, convertible)",74990,,https://m.media-amazon.com/images/I/61uVsGgl1ES._AC_UY218_.jpg,samsung,,580.0,0
