,PRODUCT NAME,PRODUCT PRICE,PRODUCT RATING,URL,brand,processor,ssd,hdd,ram,graphic_card
297,"msi modern 15 intel 10th gen. i5-10210u 15.6 inches fhd business laptop, 8gb/512gb nvme ssd/windows 10 home (carbon grey/1.6kg), a10m-482in",64018,4.0,https://m.media-amazon.com/images/I/71jFEA4IoEL._AC_UY218_.jpg,MSI,intel i5,512.0,0.0,8,intel integrated
298,"lenovo ideapad slim 3 amd ryzen 3 3250u 15.6"" (39.62cm) hd ag thin & light laptop (8gb/256gb ssd/windows 10/radeon graphics/ms office/platinum grey/1.85kg), 81w101qyin",36990,4.2,https://m.media-amazon.com/images/I/61Dw5Z8LzJL._AC_UY218_.jpg,Lenovo,ryzen 3,256.0,0.0,8,amd radeon
299,"asus zenbook 13 ux334fl-a5821ts intel core i5 10th gen 13.3""(33.78 cms) fhd thin & light laptop (8gb ram/512gb pcie ssd/windows 10/ms-office 2019/2gb nvidia geforce mx250 graphics/1.27 kg),royal blue",93000, ,https://m.media-amazon.com/images/I/614MujB11uL._AC_UY218_.jpg,ASUS,intel i5,0.0,0.0,8,mx350
300,"lenovo ideapad s145 intel core i5 10th gen 15.6"" (39.62 cms) full hd thin and light laptop (8gb/512gb ssd/windows10/office/platinum grey/1.85kg), 81w800hwin",71290,4.0,https://m.media-amazon.com/images/I/61PXjYVtmqL._AC_UY218_.jpg,Lenovo,intel i5,512.0,0.0,8,intel integrated
301,"hp 240 g8 (53l42pa) laptop (intel core i3-1115g4/ 11th gen/ 8gb ram/ 1tb hdd/ windows 10/14 inch/ black),1 year warranty",55000, ,https://m.media-amazon.com/images/I/31XlZs46T4L._AC_UY218_.jpg,HP,intel i3,0.0,1024.0,8,intel integrated
302,"(renewed) lenovo thinkpad hybrid laptop t450s (slim) intel core i7 - 5600u processor, 8 gb ram, 320 gb harddisk & 128 gb ssd, windows 10 pro, 14.1 inches notebook computer",40390, ,https://m.media-amazon.com/images/I/6172BVoWyHL._AC_UY218_.jpg,(Renewed),intel i7,128.0,0.0,8,intel integrated
303,lenovo ideapad slim 5 amd ryzen 7 5700u 15.6 inches fhd ips thin & light business laptop (16gb/512gb ssd/windows 10/ms office/backlit keyboard/fingerprint reader/graphite grey/1.66kg),76490, ,https://m.media-amazon.com/images/I/71jP9Frsr6L._AC_UY218_.jpg,Lenovo,ryzen 7,512.0,0.0,16,intel integrated
304,"lenovo ideapad slim 5 amd ryzen 7 5700u 14"" (35.56cm) fhd ips thin & light laptop (8gb/512gb ssd/windows 10/ms office/backlit keyboard/fingerprint reader/graphite grey/1.39kg), 82lm009ain",62816,4.2,https://m.media-amazon.com/images/I/61LiK6CvJHL._AC_UY218_.jpg,Lenovo,ryzen 7,512.0,0.0,8,intel integrated
305,"victus by hp ryzen 5 5600h 16.1-inch(40.9 cm) fhd gaming laptop (8gb ram/512gb ssd/4gb gtx 1650 graphics/flicker free display/windows 10/ms office/mica silver/2.48 kg), 16-e0075ax",68990,4.2,https://m.media-amazon.com/images/I/713aQxv9KHS._AC_UY218_.jpg,Victus,ryzen 5,512.0,0.0,8,gtx1650
306,"(renewed) dell latitude laptop e7270 intel core i5 - 6300u processor, 8 gb ram & 512 gb ssd, 12.5 inches screen (ultra light 1.26kg) notebook computer",35290, ,https://m.media-amazon.com/images/I/51BWw9fnsCL._AC_UY218_.jpg,(Renewed),intel i5,512.0,0.0,8,intel integrated
