Title,Rating,Price,link,Specifications
SAMSUNG 1.5 Ton 5 Star Split Inverter AC  - White,4.2,"Rs. 35,490",https://rukminim1.flixcart.com/image/312/312/kl421e80/air-conditioner-new/o/5/u/ar18ty5qawknna-split-samsung-inverter-original-imagyb23g9erhyzk.jpeg?q=70,Condenser Coil: Copper
,,,,Power Consumption: 1465 W
,,,,Noise level: 52 dB
,,,,Wi-Fi Enabled: No
,,,,1 Year comprehensive and 10 years on Compressor
,,
"Whirlpool 1 Ton 3 Star Split AC  - White, Grey",4.1,"Rs. 24,990",https://rukminim1.flixcart.com/image/312/312/klscivk0/air-conditioner-new/f/w/f/1-5t-magicool-elite-pro-3s-copr-split-whirlpool-fixed-speed-original-imagyuyfratkeyf5.jpeg?q=70,Condenser Coil: Copper
,,,,Power Consumption: 980 W
,,,,Noise level: 33 dB
,,,,Refrigerant: R32
,,,,Ambient Temperature: 48 degree C
,,,,Wi-Fi Enabled: No
,,,,1 Year on Product and 5 Years on Compressor from Whirlpool.
,,
LG Convertible 4-in-1 Cooling 1 Ton 5 Star Split Dual Inverter AC  - White,4.3,"Rs. 35,490",https://rukminim1.flixcart.com/image/312/312/klfhk7k0/air-conditioner-new/s/8/c/ms-q18ynza-split-lg-dual-inverter-original-imagyk3ergg9fveh.jpeg?q=70,Condenser Coil: Copper
,,,,Power Consumption: 571.99 kWh
,,,,Noise level: 21 dB
,,,,Refrigerant: R32
,,,,Wi-Fi Enabled: No
,,,,"1 Year on Product, 1 Year on Condenser and 10 Years on Compressor from LG"
,,
Whirlpool 1.5 Ton 3 Star Split AC  - White,4.2,"Rs. 30,490",https://rukminim1.flixcart.com/image/312/312/k8ndrww0/air-conditioner-new/n/d/h/sar18e30nc0-1-5-split-fixed-speed-whirlpool-original-imafqm2xah3vawcc.jpeg?q=70,Condenser Coil: Copper
,,,,Power Consumption: 1660 W
,,,,Noise level: 35 dB
,,,,Refrigerant: R32
,,,,Ambient Temperature: 55 degree C
,,,,Wi-Fi Enabled: No
,,,,"1 Year on Product, 1 Year on Condenser and 5 Years on Compressor from Whirlpool"
,,
"SAMSUNG 1 Ton 3 Star Split Inverter AC  - White, Blue1",4.2,"Rs. 28,990",https://rukminim1.flixcart.com/image/312/312/kt7jv680/air-conditioner-new/e/m/u/ar12ty3qbbunna-ar12ty3qbbuxna-split-inverter-samsung-original-imag6hwykd3qrmtc.jpeg?q=70,Condenser Coil: Copper
,,,,Power Consumption: 1150 W
,,,,Noise level: 54 dB
,,,,Wi-Fi Enabled: No
,,,,1 Year comprehensive and 10 years on Compressor
,,
Voltas 1 Ton 3 Star Split Inverter AC  - White,4.3,"Rs. 28,990",https://rukminim1.flixcart.com/image/312/312/kae95e80/air-conditioner-new/z/n/u/123v-czt3-1-split-inverter-voltas-original-imafrz8yr9z99q9h.jpeg?q=70,Condenser Coil: Copper
,,,,Power Consumption: 1130 W
,,,,Noise level: 41.5 dB
,,,,Refrigerant: R32
,,,,Ambient Temperature: 52 degree C
,,,,Wi-Fi Enabled: No
,,,,1 Year Comprehensive and 4 Years Compressor Warranty from Voltas
,,
SAMSUNG 1.5 Ton 5 Star Split Inverter AC  - White,4.1,"Rs. 38,300",https://rukminim1.flixcart.com/image/312/312/km9ht3k0/air-conditioner-new/i/8/i/ar18ay5zapg-split-samsung-inverter-original-imagf7qhtbfgdsew.jpeg?q=70,Condenser Coil: Copper
,,,,Power Consumption: 743.96 W
,,,,Noise level: 45 dB
,,,,Wi-Fi Enabled: No
,,,,"1 Year Warranty on Product, 5 Years on Condenser and 10 Years on Compressor"
,,
Voltas 1 Ton 3 Star Window AC  - White,4.2,"Rs. 23,490",https://rukminim1.flixcart.com/image/312/312/jehf4i80/air-conditioner-new/v/e/6/123lzf-1-window-voltas-original-imaf35nwt6yzzy3z.jpeg?q=70,Condenser Coil: Copper
,,,,Refrigerant: R-22
,,,,Wi-Fi Enabled: No
,,,,1 Year on Product and 4 Years on Compressor
,,
Whirlpool 1 Ton 3 Star Split Inverter AC  - White,4.2,"Rs. 26,990",https://rukminim1.flixcart.com/image/312/312/kksmikw0/air-conditioner-new/0/m/e/1-5t-magicool-pro-5s-copr-inv-split-inverter-whirlpool-original-imagy25utwj6jgg7.jpeg?q=70,Condenser Coil: Copper
,,,,Power Consumption: 1075 W
,,,,Noise level: 42 dB
,,,,Refrigerant: R32
,,,,Ambient Temperature: 52 degree C
,,,,Wi-Fi Enabled: No
,,,,"1 Year on Product, 1 Year on Condenser and 10 Years on Compressor from Whirlpool"
,,
"Voltas 1.5 Ton 5 Star Split Inverter Maha Adjustable AC  - White, Black",4.2,"Rs. 37,400",https://rukminim1.flixcart.com/image/312/312/k8ro3gw0/air-conditioner-new/e/x/g/185-v-adq-r-32-1-5-split-inverter-voltas-original-imafqpan234nzzgv.jpeg?q=70,Condenser Coil: Copper
,,,,Power Consumption: 1430 W
,,,,Noise level: 45 dB
,,,,Refrigerant: R32
,,,,Ambient Temperature: 52 degree C
,,,,Wi-Fi Enabled: No
,,,,1 Year on Product and 5 Years on Compressor from Voltas
,,
"SAMSUNG 1.5 Ton 3 Star Split Inverter AC  - White, Brown",4.2,"Rs. 32,990",https://rukminim1.flixcart.com/image/312/312/kg40k280/air-conditioner-new/g/v/v/ar18ty3qbbr-1-5-split-samsung-inverter-original-imafwefyybhvyxh7.jpeg?q=70,Condenser Coil: Copper
,,,,Power Consumption: 1748 W
,,,,Noise level: 52 dB
,,,,Wi-Fi Enabled: No
,,,,1 Year comprehensive and 10 years on Compressor
,,
Voltas 1 Ton 3 Star Split Inverter AC  - White,4.2,"Rs. 28,990",https://rukminim1.flixcart.com/image/312/312/k5h2jrk0/air-conditioner-new/z/z/x/123-vdzx-r-410a-1-split-inverter-voltas-original-imafz5647fnsrj5p.jpeg?q=70,Condenser Coil: Copper
,,,,Power Consumption: 704 W
,,,,Noise level: 46 dB
,,,,"Refrigerant: R410,R32"
,,,,Wi-Fi Enabled: No
,,,,1 Year Manufacturer Warranty on Product from Voltas
,,
