,Title,Rating,Price,Link,Company,Processor,Display,ssd,hdd,ram
236,msi modern 14 core i5 11th gen - (8 gb/512 gb ssd/windows 10 home) modern 14 b11mo-093in thin and ligh...,4.4,54990,https://rukminim1.flixcart.com/image/312/312/klzhq4w0/computer/s/k/x/na-thin-and-light-laptop-msi-original-imagyzpcazfbmhjp.jpeg?q=70,MSI,intel i5,13,512.0,0.0,8
237,asus vivobook 15 core i3 11th gen - (8 gb/1 tb hdd/windows 10 home) x515ea-bq391ts laptop,4.5,41990,https://rukminim1.flixcart.com/image/312/312/kt7jv680/computer/h/5/f/vivobook-15-laptop-asus-original-imag6hwpwfnfqqvy.jpeg?q=70,ASUS,intel i3,14,0.0,1024.0,8
238,acer nitro 5 ryzen 5 hexa core 4600h - (8 gb/1 tb hdd/256 gb ssd/windows 10 home/4 gb graphics/nvidia ...,4.5,66990,https://rukminim1.flixcart.com/image/312/312/ke0a7ww0/computer/t/f/n/acer-original-imafusazjxw4v99h.jpeg?q=70,acer,ryzen 5,15.6,256.0,1024.0,8
239,msi gf63 thin core i5 10th gen - (8 gb/1 tb hdd/windows 10 home/4 gb graphics/nvidia geforce gtx 1650 ...,4.3,55990,https://rukminim1.flixcart.com/image/312/312/ko7idu80/computer/x/l/i/gf63-thin-10scxr-1616in-notebook-msi-original-imag2q55h6w2avfr.jpeg?q=70,MSI,ryzen 5,15.6,0.0,1024.0,8
240,msi gf63 thin core i5 10th gen - (8 gb/1 tb hdd/windows 10 home/4 gb graphics/nvidia geforce gtx 1650 ...,4.3,55990,https://rukminim1.flixcart.com/image/312/312/ko7idu80/computer/x/l/i/gf63-thin-10scxr-1616in-notebook-msi-original-imag2q55h6w2avfr.jpeg?q=70,MSI,intel i5,15.6,0.0,1024.0,8
241,lenovo legion core i5 9th gen - (8 gb/1 tb hdd/256 gb ssd/windows 10 home/4 gb graphics) y540-15irh-pg...,4.2,59990,https://rukminim1.flixcart.com/image/312/312/k9pynww0/computer/y/k/z/lenovo-legion-y540-gaming-laptop-original-imafrggru5fzzgyq.jpeg?q=70,Lenovo,intel i5,15.6,256.0,1024.0,8
242,asus zenbook 13 (2021) oled core i7 11th gen - (16 gb/1 tb ssd/windows 10 home) ux325ea-kg701ts thin a...,4.0,104990,https://rukminim1.flixcart.com/image/312/312/ktop5e80/computer/n/h/e/na-thin-and-light-laptop-asus-original-imag6ywskjzsd2av.jpeg?q=70,ASUS,intel i7,13.3,1024.0,0.0,16
243,asus vivobook ultra 15 core i5 11th gen - (16 gb/1 tb hdd/256 gb ssd/windows 10 home) k513ea-bq563ts t...,4.5,67990,https://rukminim1.flixcart.com/image/312/312/klqx30w0/computer/t/s/l/k513ea-bq303ts-thin-and-light-laptop-asus-original-imagytf9tqmzfxxz.jpeg?q=70,ASUS,intel i5,15.6,256.0,1024.0,16
244,dell inspiron core i5 11th gen - (4 gb/1 tb hdd/256 gb ssd/windows 10) inspiron 3501 thin and light la...,4.3,55590,https://rukminim1.flixcart.com/image/312/312/kp4difk0/computer/f/n/h/inspiron-3501-notebook-dell-original-imag3evhn9m7wh58.jpeg?q=70,DELL,intel i5,15.6,256.0,1024.0,4
245,msi modern 14 core i5 10th gen - (8 gb/512 gb ssd/windows 10 home) modern 14 b10mw-423in laptop,4.5,49990,https://rukminim1.flixcart.com/image/312/312/kjabs7k0/computer/z/d/6/msi-original-imafywfypuwbubmn.jpeg?q=70,MSI,intel i5,14,512.0,0.0,8
246,dell inspiron core i5 11th gen - (8 gb/1 tb hdd/256 gb ssd/windows 10/2 gb graphics) inspiron 3511 lap...,4.7,66630,https://rukminim1.flixcart.com/image/312/312/krdtlzk0/computer/l/k/r/na-laptop-dell-original-imag57f9psmfjcxs.jpeg?q=70,DELL,intel i5,15.6,256.0,1024.0,8
247,acer aspire 3 core i3 11th gen - (4 gb/256 gb ssd/windows 10 home) a315-58 thin and light laptop,4.7,48470,https://rukminim1.flixcart.com/image/312/312/kshtxu80/computer/2/a/s/aspire-3-thin-and-light-laptop-acer-original-imag6fvccahrjyv6.jpeg?q=70,acer,intel i3,15.6,256.0,0.0,4
248,lenovo yoga 7 core i7 11th gen intel evo - (16 gb/512 gb ssd/windows 10 home) 14itl5 2 in 1 laptop,4.7,97990,https://rukminim1.flixcart.com/image/312/312/kkimfm80/computer/q/g/o/na-2-in-1-laptop-lenovo-original-imafzua4zhhpyyz8.jpeg?q=70,lenovo,intel i7,15.6,512.0,0.0,16
249,dell vostro core i5 11th gen - (8 gb/512 gb ssd/windows 10/2 gb graphics) vostro 3400 thin and light l...,3.7,64790,https://rukminim1.flixcart.com/image/312/312/kn7sdjk0/computer/l/4/y/na-notebook-dell-original-imagfy6adtf9apuh.jpeg?q=70,DELL,intel i7,14,512.0,0.0,8
250,dell vostro core i5 11th gen - (8 gb/512 gb ssd/windows 10/2 gb graphics) vostro 3400 thin and light l...,3.7,64790,https://rukminim1.flixcart.com/image/312/312/kn7sdjk0/computer/l/4/y/na-notebook-dell-original-imagfy6adtf9apuh.jpeg?q=70,DELL,intel i5,14,512.0,0.0,8
251,apple macbook pro with touch bar core i5 10th gen - (16 gb/512 gb ssd/mac os catalina) mwp72hn/a,4.5,160990,https://rukminim1.flixcart.com/image/312/312/kamtsi80/computer/z/p/y/apple-na-thin-and-light-laptop-original-imafs5nhtfzsvwy6.jpeg?q=70,APPLE,intel i5,13,512.0,0.0,16
252,lenovo ideapad 3 core i3 11th gen - (8 gb/512 gb ssd/windows 10 home) 15itl6 thin and light laptop,4.4,44990,https://rukminim1.flixcart.com/image/312/312/ksj9dow0/computer/s/i/r/na-thin-and-light-laptop-lenovo-original-imag63454bmhyeth.jpeg?q=70,Lenovo,intel i3,15.6,512.0,0.0,8
253,lenovo ideapad slim 5i core i5 11th gen intel evo - (8 gb/1 tb hdd/256 gb ssd/windows 10 home) 15itl05...,4.4,68500,https://rukminim1.flixcart.com/image/312/312/klfhk7k0/computer/w/u/x/na-thin-and-light-laptop-lenovo-original-imagyk4hedcydqx5.jpeg?q=70,lenovo,intel i5,15.6,256.0,1024.0,8
254,apple macbook pro with touch bar core i5 10th gen - (16 gb/1 tb ssd/mac os catalina) mwp52hn/a,4.8,179990,https://rukminim1.flixcart.com/image/312/312/kamtsi80/computer/k/a/v/apple-na-thin-and-light-laptop-original-imafs5nmg3kxcqnz.jpeg?q=70,APPLE,intel i5,13,1024.0,0.0,16
255,asus tuf gaming a17 ryzen 5 hexa core 4600h - (16 gb/512 gb ssd/windows 10 home/4 gb graphics/nvidia g...,4.6,66990,https://rukminim1.flixcart.com/image/312/312/kjrh2fk0/computer/9/b/z/asus-na-gaming-laptop-original-imafz9kvas37qgwr.jpeg?q=70,ASUS,ryzen 5,17.3,512.0,0.0,16
256,dell xps 13 core i7 8th gen - (16 gb/512 gb ssd/windows 10 home) 9370 thin and light laptop,5.0,114990,https://rukminim1.flixcart.com/image/312/312/jk01bww0/computer/x/5/z/dell-na-thin-and-light-laptop-original-imaf7fy9v5sbfsxp.jpeg?q=70,DELL,intel i7,13.3,512.0,0.0,16
