,Title,Rating,Price,link,Company,Condensor Coil,Wi-Fi,Noise_Level,Power_Consumption,TON_value,split
38,Voltas 1 Ton 3 Star Window AC  - White,4.2,23490.0,https://rukminim1.flixcart.com/image/312/312/jehf4i80/air-conditioner-new/v/e/6/123lzf-1-window-voltas-original-imaf35nwt6yzzy3z.jpeg?q=70,Voltas, Copper, No,42.0,1075.0,1.0,0
39,Whirlpool 1 Ton 3 Star Split Inverter AC  - White,4.2,26990.0,https://rukminim1.flixcart.com/image/312/312/kksmikw0/air-conditioner-new/0/m/e/1-5t-magicool-pro-5s-copr-inv-split-inverter-whirlpool-original-imagy25utwj6jgg7.jpeg?q=70,Whirlpool, Copper, No,42.0,1075.0,1.0,1
40,"Voltas 1.5 Ton 5 Star Split Inverter Maha Adjustable AC  - White, Black",4.2,37400.0,https://rukminim1.flixcart.com/image/312/312/k8ro3gw0/air-conditioner-new/e/x/g/185-v-adq-r-32-1-5-split-inverter-voltas-original-imafqpan234nzzgv.jpeg?q=70,Voltas, Copper, No,45.0,1430.0,1.0,1
41,"SAMSUNG 1.5 Ton 3 Star Split Inverter AC  - White, Brown",4.2,32990.0,https://rukminim1.flixcart.com/image/312/312/kg40k280/air-conditioner-new/g/v/v/ar18ty3qbbr-1-5-split-samsung-inverter-original-imafwefyybhvyxh7.jpeg?q=70,SAMSUNG, Copper, No,52.0,1748.0,1.0,1
42,Voltas 1 Ton 3 Star Split Inverter AC  - White,4.2,28990.0,https://rukminim1.flixcart.com/image/312/312/k5h2jrk0/air-conditioner-new/z/z/x/123-vdzx-r-410a-1-split-inverter-voltas-original-imafz5647fnsrj5p.jpeg?q=70,Voltas, Copper, No,46.0,704.0,1.0,1
43,MarQ By Flipkart 1.5 Ton 5 Star Window AC  - White,4.2,25490.0,https://rukminim1.flixcart.com/image/312/312/k9re3rk0/air-conditioner-new/v/j/c/fkac155sfwaca-1-5-window-fixed-speed-marq-by-flipkart-original-imafrhckfugfeqjc.jpeg?q=70,MarQ, Copper, No,60.0,1520.0,1.0,0
44,ONIDA 2 Ton 3 Star Split Dual Inverter AC  - White,4.3,38490.0,https://rukminim1.flixcart.com/image/312/312/k55n0y80/air-conditioner-new/t/x/z/ir185rho-1-5-split-dual-inverter-onida-original-imafnphfauxd5j8e.jpeg?q=70,ONIDA, Copper, No,47.0,2180.0,2.0,1
45,LG 1.5 Ton 5 Star Split Dual Inverter AC  - White,4.5,40990.0,https://rukminim1.flixcart.com/image/312/312/kk76wsw0/air-conditioner-new/e/8/5/ms-q18tnza-split-dual-inverter-lg-original-imafzhnz8gxqzhgd.jpeg?q=70,LG, Copper, No,31.0,818.0,1.0,1
46,Panasonic 1.5 Ton 5 Star Split Inverter Smart AC with PM 2.5 Filter with Wi-fi Connect  - White,4.3,40990.0,https://rukminim1.flixcart.com/image/312/312/knhsgi80/air-conditioner-new/b/a/x/ku18wkyt-cs-cu-su18wkyw-split-panasonic-inverter-original-imag26fwjt73b4zh.jpeg?q=70,Panasonic, Copper, Yes,43.0,840.0,1.0,1
47,"SAMSUNG 1.5 Ton 3 Star Split Inverter AC  - White, Blue",4.2,32990.0,https://rukminim1.flixcart.com/image/312/312/kg40k280/air-conditioner-new/n/z/y/ar18ty3qbbu-sps-1-5-split-samsung-inverter-original-imafwefyhzztgtzg.jpeg?q=70,SAMSUNG, Copper, Yes,52.0,1748.0,1.0,1
